iter	RMSE
192	74129.07728
193	74116.29335
194	74112.02295
195	74097.91664
196	74089.82823
197	74087.51561
198	74082.97955
199	74078.26034
200	74076.30664
201	74070.05004
202	74060.58605
203	74045.2908
204	74035.96233
205	74030.96192
206	74026.04476
207	74025.223
208	74018.43712
209	74013.27392
210	74009.90097
211	73991.9735
212	73990.12315
213	73985.00681
214	73968.0632
215	73961.76513
216	73950.21451
217	73941.17712
218	73928.36032
219	73923.64792
220	73916.48871
221	73912.15437
222	73908.73642
223	73904.2607
224	73894.73882
225	73888.15874
226	73884.36391
227	73881.02417
228	73874.01624
229	73869.97479
230	73863.62024
231	73860.46063
232	73849.01115
233	73841.07408
234	73834.53489
235	73827.81305
236	73813.59801
237	73808.7651
238	73804.1301
239	73798.28803
240	73794.77412
241	73789.85201
242	73783.43369
243	73775.98462
244	73774.4649
245	73765.29962
246	73751.31687
247	73746.95592
248	73742.69697
249	73729.62836
250	73725.38818
251	73722.99888
252	73712.95474
253	73703.67233
254	73698.59429
255	73689.25947
256	73685.15519
257	73676.90529
258	73665.69693
259	73650.35446
260	73641.26047
261	73636.88975
262	73633.66946
263	73629.08519
264	73624.93362
265	73614.76843
266	73605.77169
267	73603.23572
268	73589.87498
269	73584.68086
270	73576.86954
271	73571.93838
272	73567.55268
273	73556.14415
274	73546.40267
275	73543.5691
276	73540.11615
277	73533.05211
278	73520.63339
279	73517.50107
280	73506.26004
281	73503.27533
282	73494.63702
283	73482.80498
284	73479.09986
285	73476.43287
286	73472.84485
287	73471.57996
288	73466.43072
289	73457.43612
290	73449.67649
291	73445.46781
292	73443.43269
293	73440.10684
294	73431.85251
295	73427.95853
296	73426.72914
297	73423.01951
298	73412.40817
299	73405.69856
300	73402.52551
301	73400.91004
302	73391.42097
303	73381.73549
304	73374.22248
305	73367.24737
306	73358.01095
307	73351.58207
308	73341.4416
309	73333.79903
310	73319.21346
311	73315.39868
312	73314.2613
313	73310.53427
314	73303.27792
315	73299.2602
316	73289.31124
317	73283.31383
318	73276.43716
319	73270.33096
320	73263.77963
321	73254.57358
322	73253.40143
323	73251.60892
324	73243.445
325	73236.70676
326	73227.63409
327	73222.27669
328	73213.40672
329	73209.42807
330	73204.19092
331	73196.82364
332	73195.75026
333	73192.12814
334	73187.92799
335	73184.53078
336	73180.33451
337	73176.88798
338	73171.91081
339	73168.6063
340	73167.55395
341	73161.08276
342	73158.63226
343	73150.6599
344	73147.91768
345	73138.95684
346	73130.02489
347	73128.81222
348	73127.26286
349	73122.75049
350	73115.95624
351	73107.17102
352	73102.43561
353	73099.79212
354	73097.18428
355	73089.56804
356	73086.98324
357	73084.54386
358	73079.30869
359	73071.61981
360	73064.12719
361	73056.82402
362	73049.70564
363	73042.77607
364	73036.01205
365	73029.41861
366	73022.99908
367	73016.73285
368	73010.62431
369	73004.66246
370	72998.85516
371	72993.19351
372	72987.66652
373	72982.28416
374	72977.03674
375	72971.92999
376	72966.93208
377	72962.05993
378	72957.31028
379	72952.68352
380	72948.17263
381	72943.76361
382	72939.46977
383	72935.28362
384	72932.67515
385	72930.4742
386	72926.28641
387	72919.00646
388	72914.92905
389	72909.88708
390	72905.91204
391	72903.20777
392	72896.3361
393	72870.65189
394	72866.45223
395	72862.39525
396	72859.50655
397	72851.61589
398	72843.50978
399	72836.6704
400	72826.8096
401	72822.9239
402	72808.5833
403	72804.79873
404	72801.10349
405	72793.79765
406	72790.02613
407	72786.83721
408	72783.23408
409	72781.34789
410	72778.70561
411	72772.148
412	72768.58138
413	72765.07036
414	72755.11348
415	72745.9086
416	72743.45659
417	72738.82194
418	72732.27098
419	72718.81169
420	72713.04045
421	72708.81187
422	72702.32439
423	72699.75075
424	72696.32204
425	72691.7104
426	72686.39555
427	72676.92553
428	72668.02591
429	72660.04895
430	72647.5876
431	72640.70572
432	72639.01301
433	72635.37573
434	72632.0313
435	72617.30907
436	72608.11894
437	72599.37277
438	72593.37899
439	72590.11499
440	72586.78262
441	72580.13741
442	72576.95581
443	72575.19722
444	72569.38991
445	72555.69152
446	72531.82775
447	72527.50522
448	72523.91075
449	72520.56083
450	72509.69971
451	72506.51077
452	72492.94246
453	72489.23436
454	72488.30374
455	72485.27407
456	72482.32066
457	72473.85922
458	72471.13693
459	72461.30147
460	72460.07297
461	72454.30831
462	72446.28746
463	72435.93164
464	72427.01515
465	72423.91393
466	72421.99303
467	72421.04609
468	72410.44142
469	72407.67124
470	72399.01218
471	72386.38069
472	72382.01199
473	72375.5262
474	72374.709
475	72366.05681
476	72362.82437
477	72352.66347
478	72348.31154
479	72341.36107
480	72331.28732
481	72327.23242
482	72322.89941
483	72318.97798
484	72309.70548
485	72307.96645
486	72305.54794
487	72295.6199
488	72282.23014
489	72275.05079
490	72273.56101
491	72270.23893
492	72269.12922
493	72261.32206
494	72254.79154
495	72249.7994
496	72246.91381
497	72245.83773
498	72241.25542
499	72237.53062
