iter	Passed	Remaining
340	8802	4104
341	8828	4078
342	8855	4053
343	8877	4025
344	8899	3998
345	8922	3971
346	8945	3944
347	8966	3916
348	8984	3887
349	9004	3859
350	9025	3831
351	9049	3804
352	9072	3777
353	9094	3750
354	9113	3722
355	9132	3694
356	9160	3669
357	9190	3645
358	9217	3620
359	9302	3617
360	9370	3607
361	9420	3591
362	9445	3564
363	9466	3537
364	9580	3543
365	9647	3532
366	9683	3509
367	9706	3481
368	9725	3452
369	9750	3425
370	9775	3398
371	9799	3371
372	9818	3342
373	9839	3314
374	9859	3286
375	9878	3257
376	9904	3231
377	9933	3205
378	9959	3179
379	9982	3152
380	10000	3123
381	10019	3094
382	10040	3067
383	10071	3042
384	10096	3015
385	10115	2987
386	10134	2959
387	10152	2930
388	10173	2902
389	10192	2874
390	10211	2846
391	10235	2820
392	10256	2792
393	10280	2765
394	10300	2738
395	10318	2710
396	10416	2702
397	10457	2680
398	10477	2652
399	10499	2624
400	10518	2596
401	10536	2568
402	10556	2540
403	10577	2513
404	10597	2485
405	10620	2459
406	10639	2431
407	10658	2403
408	10678	2375
409	10697	2348
410	10714	2320
411	10733	2292
412	10755	2265
413	10774	2238
414	10795	2211
415	10817	2184
416	10836	2156
417	10856	2129
418	10877	2102
419	10900	2076
420	10920	2049
421	10940	2022
422	10960	1995
423	10978	1967
424	10997	1940
425	11021	1914
426	11048	1888
427	11084	1864
428	11107	1838
429	11127	1811
430	11150	1785
431	11168	1758
432	11186	1730
433	11206	1704
434	11227	1677
435	11248	1651
436	11269	1624
437	11290	1598
438	11308	1571
439	11331	1545
440	11350	1518
441	11463	1504
442	11492	1478
443	11510	1451
444	11528	1424
445	11548	1398
446	11569	1371
447	11589	1345
448	11607	1318
449	11628	1292
450	11660	1266
451	11688	1241
452	11709	1214
453	11727	1188
454	11744	1161
455	11860	1144
456	11964	1125
457	11993	1099
458	12015	1073
459	12033	1046
460	12053	1019
461	12072	992
462	12091	966
463	12189	945
464	12218	919
465	12244	893
466	12262	866
467	12282	839
468	12303	813
469	12322	786
470	12341	759
471	12363	733
472	12381	706
473	12406	680
474	12423	653
475	12443	627
476	12461	600
477	12480	574
478	12501	548
479	12523	521
480	12543	495
481	12562	469
482	12580	442
483	12602	416
484	12622	390
485	12640	364
486	12661	337
487	12681	311
488	12701	285
489	12727	259
490	12745	233
491	12762	207
492	12780	181
493	12800	155
494	12819	129
495	12839	103
496	12857	77
497	12875	51
498	12894	25
499	12916	0
